"","sourceTaxonId","sourceTaxonIds","sourceTaxonName","sourceTaxonRank","sourceTaxonPathNames","sourceTaxonPathIds","sourceTaxonPathRankNames","sourceTaxonSpeciesName","sourceTaxonSpeciesId","sourceTaxonGenusName","sourceTaxonGenusId","sourceTaxonFamilyName","sourceTaxonFamilyId","sourceTaxonOrderName","sourceTaxonOrderId","sourceTaxonClassName","sourceTaxonClassId","sourceTaxonPhylumName","sourceTaxonPhylumId","sourceTaxonKingdomName","sourceTaxonKingdomId","sourceId","sourceOccurrenceId","sourceInstitutionCode","sourceCollectionCode","sourceCatalogNumber","sourceBasisOfRecordId","sourceBasisOfRecordName","sourceLifeStageId","sourceLifeStageName","sourceBodyPartId","sourceBodyPartName","sourcePhysiologicalStateId","sourcePhysiologicalStateName","sourceSexId","sourceSexName","interactionTypeName","interactionTypeId","targetTaxonId","targetTaxonIds","targetTaxonName","targetTaxonRank","targetTaxonPathNames","targetTaxonPathIds","targetTaxonPathRankNames","targetTaxonSpeciesName","targetTaxonSpeciesId","targetTaxonGenusName","targetTaxonGenusId","targetTaxonFamilyName","targetTaxonFamilyId","targetTaxonOrderName","targetTaxonOrderId","targetTaxonClassName","targetTaxonClassId","targetTaxonPhylumName","targetTaxonPhylumId","targetTaxonKingdomName","targetTaxonKingdomId","targetId","targetOccurrenceId","targetInstitutionCode","targetCollectionCode","targetCatalogNumber","targetBasisOfRecordId","targetBasisOfRecordName","targetLifeStageId","targetLifeStageName","targetBodyPartId","targetBodyPartName","targetPhysiologicalStateId","targetPhysiologicalStateName","targetSexId","targetSexName","decimalLatitude","decimalLongitude","localityId","localityName","eventDateUnixEpoch","argumentTypeId","referenceCitation","referenceDoi","referenceUrl","sourceCitation","sourceNamespace","sourceArchiveURI","sourceDOI","sourceLastSeenAtUnixEpoch"
"1","bioinfo:taxon:160854","bioinfo:taxon:160854","Louping Ill virus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bioinfo:rel:25211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hasVector","http://purl.obolibrary.org/obo/RO_0002460","NBN:NHMSYS0000730335","GBIF:2182588 | INAT_TAXON:51671 | IRMNG:10878625 | NBN:NHMSYS0000730335 | WD:Q21175","Ixodes (Ixodes) ricinus","species","Biota | Animalia | Arthropoda | Chelicerata | Arachnida | Ixodida | Ixodidae | Ixodes | Ixodes (Ixodes) ricinus","NBN:NHMSYS0021048735 | NBN:NBNSYS0100001342 | NBN:NHMSYS0020470198 | NBN:NHMSYS0000842068 | NBN:NHMSYS0021049469 | NBN:NBNSYS0000160240 | NBN:NBNSYS0000160241 | NBN:NHMSYS0000730317 | NBN:NHMSYS0000730335","| kingdom | phylum | subphylum | class | order | family | genus | species","Ixodes (Ixodes) ricinus","NBN:NHMSYS0000730335","ixodes","NBN:NHMSYS0000730317","Ixodidae","NBN:NBNSYS0000160241","Ixodida","NBN:NBNSYS0000160240","Arachnida","NBN:NHMSYS0021049469","Arthropoda","NBN:NHMSYS0020470198","Animalia","NBN:NBNSYS0100001342",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://en.wiktionary.org/wiki/support","Avery, R.A.. 1974. Identification of Animal Parasites. Hulton Educational Publications Ltd.. Hulton Group Keys",NA,NA,"Food Webs and Species Interactions in the Biodiversity of UK and Ireland (Online). 2017. Data provided by Malcolm Storey. Also available from http://bioinfo.org.uk.","globalbioticinteractions/bioinfo","https://zenodo.org/record/1419646/files/globalbioticinteractions/bioinfo-v1.1.zip",NA,2021-04-16 22:58:47
"2","WORMS:762204","WORMS:762204","Ixodes eudyptidis",NA,"Biota | Animalia | Arthropoda | Chelicerata | Arachnida | Acari | Parasitiformes | Ixodida | Ixodoidea | Ixodidae | Ixodes | Ixodes eudyptidis",NA,"superdomain | kingdom | phylum | subphylum | class | subclass | superorder | order | superfamily | family | genus | species","Ixodes eudyptidis",NA,"ixodes",NA,"Ixodidae",NA,NA,NA,"Arachnida",NA,"Arthropoda",NA,"Animalia",NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,"Female","hasHost","http://purl.obolibrary.org/obo/RO_0002454","WD:Q979948","EOL:219098 | FBC:FB:SpecCode:10716 | GBIF:5204168 | IRMNG:10853777 | ITIS:163000 | WD:Q979948","Thayeria boehlkei","species","| Thayeria boehlkei","WD:Q310977 | WD:Q979948","| species","Thayeria boehlkei","WD:Q979948",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GISBORNE  38.40 S  178.01 E",NA,"https://en.wiktionary.org/wiki/support","US National Museum of Natural History Ixodes Records. Accessed at <https://github.com/globalbioticinteractions/usnm-ixodes/archive/c5fcd5f34ce412002783544afb628a33db7f47a6.zip> on 20 Apr 2021.",NA,NA,"US National Museum of Natural History Ixodes Records","globalbioticinteractions/usnm-ixodes","https://github.com/globalbioticinteractions/usnm-ixodes/archive/c5fcd5f34ce412002783544afb628a33db7f47a6.zip",NA,2021-04-17 03:12:29
"3","WORMS:762204","WORMS:762204","Ixodes eudyptidis",NA,"Biota | Animalia | Arthropoda | Chelicerata | Arachnida | Acari | Parasitiformes | Ixodida | Ixodoidea | Ixodidae | Ixodes | Ixodes eudyptidis",NA,"superdomain | kingdom | phylum | subphylum | class | subclass | superorder | order | superfamily | family | genus | species","Ixodes eudyptidis",NA,"ixodes",NA,"Ixodidae",NA,NA,NA,"Arachnida",NA,"Arthropoda",NA,"Animalia",NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,"Female","hasHost","http://purl.obolibrary.org/obo/RO_0002454","WD:Q782038","EOL_V2:1049315 | FBC:SLB:SpecCode:75092 | GBIF:2481161 | GBIF:6065811 | INAT_TAXON:144507 | IRMNG:11212116 | ITIS:824039 | WD:Q782038 | WORMS:343915","Chroicocephalus novaehollandiae","species","| Chroicocephalus novaehollandiae","WD:Q135851 | WD:Q782038","| species","Chroicocephalus novaehollandiae","WD:Q782038",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://en.wiktionary.org/wiki/support","US National Museum of Natural History Ixodes Records. Accessed at <https://github.com/globalbioticinteractions/usnm-ixodes/archive/c5fcd5f34ce412002783544afb628a33db7f47a6.zip> on 20 Apr 2021.",NA,NA,"US National Museum of Natural History Ixodes Records","globalbioticinteractions/usnm-ixodes","https://github.com/globalbioticinteractions/usnm-ixodes/archive/c5fcd5f34ce412002783544afb628a33db7f47a6.zip",NA,2021-04-17 03:12:29
"4","WORMS:762204","WORMS:762204","Ixodes eudyptidis",NA,"Biota | Animalia | Arthropoda | Chelicerata | Arachnida | Acari | Parasitiformes | Ixodida | Ixodoidea | Ixodidae | Ixodes | Ixodes eudyptidis",NA,"superdomain | kingdom | phylum | subphylum | class | subclass | superorder | order | superfamily | family | genus | species","Ixodes eudyptidis",NA,"ixodes",NA,"Ixodidae",NA,NA,NA,"Arachnida",NA,"Arthropoda",NA,"Animalia",NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,"Female","hasHost","http://purl.obolibrary.org/obo/RO_0002454","WD:Q26675","FBC:SLB:SpecCode:73558 | GBIF:2480964 | INAT_TAXON:3802 | IRMNG:10590748 | ITIS:174712 | NCBI:37578 | WD:Q26675 | WORMS:148776 | http://taxon-concept.plazi.org/id/Animalia/Morus_bassanus_Linnaeus_1758 | http://treatment.plazi.org/id/A259D7CAEB81828E36CD59B19DC940FD | http://treatment.plazi.org/id/A609C0A611B94547A5879E8B4F3D472E","Morus bassanus","species","| Morus bassanus","WD:Q1651414 | WD:Q26675","| species","Morus bassanus","WD:Q26675",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORTH ISLAND  CAPE KIDNAPPERS",NA,"https://en.wiktionary.org/wiki/support","US National Museum of Natural History Ixodes Records. Accessed at <https://github.com/globalbioticinteractions/usnm-ixodes/archive/c5fcd5f34ce412002783544afb628a33db7f47a6.zip> on 20 Apr 2021.",NA,NA,"US National Museum of Natural History Ixodes Records","globalbioticinteractions/usnm-ixodes","https://github.com/globalbioticinteractions/usnm-ixodes/archive/c5fcd5f34ce412002783544afb628a33db7f47a6.zip",NA,2021-04-17 03:12:29
"5","WORMS:762204","WORMS:762204","Ixodes eudyptidis",NA,"Biota | Animalia | Arthropoda | Chelicerata | Arachnida | Acari | Parasitiformes | Ixodida | Ixodoidea | Ixodidae | Ixodes | Ixodes eudyptidis",NA,"superdomain | kingdom | phylum | subphylum | class | subclass | superorder | order | superfamily | family | genus | species","Ixodes eudyptidis",NA,"ixodes",NA,"Ixodidae",NA,NA,NA,"Arachnida",NA,"Arthropoda",NA,"Animalia",NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,"Female","hasHost","http://purl.obolibrary.org/obo/RO_0002454","WD:Q203628","EOL_V2:1049616 | FBC:SLB:SpecCode:73707 | GBIF:2481646 | INAT_TAXON:3817 | IRMNG:11259790 | ITIS:174460 | NCBI:37083 | WD:Q203628 | WORMS:225932","Eudyptula minor","species","| Eudyptula minor","WD:Q3021378 | WD:Q203628","| species","Eudyptula minor","WD:Q203628",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOLAGA BAY  NR. EAST CAPE IN NORTH ISLAND",NA,"https://en.wiktionary.org/wiki/support","US National Museum of Natural History Ixodes Records. Accessed at <https://github.com/globalbioticinteractions/usnm-ixodes/archive/c5fcd5f34ce412002783544afb628a33db7f47a6.zip> on 20 Apr 2021.",NA,NA,"US National Museum of Natural History Ixodes Records","globalbioticinteractions/usnm-ixodes","https://github.com/globalbioticinteractions/usnm-ixodes/archive/c5fcd5f34ce412002783544afb628a33db7f47a6.zip",NA,2021-04-17 03:12:29
"6","WORMS:762204","WORMS:762204","Ixodes eudyptidis",NA,"Biota | Animalia | Arthropoda | Chelicerata | Arachnida | Acari | Parasitiformes | Ixodida | Ixodoidea | Ixodidae | Ixodes | Ixodes eudyptidis",NA,"superdomain | kingdom | phylum | subphylum | class | subclass | superorder | order | superfamily | family | genus | species","Ixodes eudyptidis",NA,"ixodes",NA,"Ixodidae",NA,NA,NA,"Arachnida",NA,"Arthropoda",NA,"Animalia",NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,"Female","hasHost","http://purl.obolibrary.org/obo/RO_0002454","FBC:SLB:SpecCode:84339","FBC:SLB:SpecCode:84339 | GBIF:2481859 | INAT_TAXON:4292 | IRMNG:10194886 | ITIS:174750 | NCBI:146624 | WD:Q27074616 | WORMS:225972","Phalacrocorax punctatus","species","Aves | Ciconiiformes | Phalacrocoracidae | Phalacrocorax | Phalacrocorax punctatus",NA,"class | order | family | genus | species","Phalacrocorax punctatus",NA,"phalacrocorax",NA,"Phalacrocoracidae",NA,"Ciconiiformes",NA,"Aves",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HICKORY BAY  BANKS PENINSULA",NA,"https://en.wiktionary.org/wiki/support","US National Museum of Natural History Ixodes Records. Accessed at <https://github.com/globalbioticinteractions/usnm-ixodes/archive/c5fcd5f34ce412002783544afb628a33db7f47a6.zip> on 20 Apr 2021.",NA,NA,"US National Museum of Natural History Ixodes Records","globalbioticinteractions/usnm-ixodes","https://github.com/globalbioticinteractions/usnm-ixodes/archive/c5fcd5f34ce412002783544afb628a33db7f47a6.zip",NA,2021-04-17 03:12:29
"7","WORMS:762204","WORMS:762204","Ixodes eudyptidis",NA,"Biota | Animalia | Arthropoda | Chelicerata | Arachnida | Acari | Parasitiformes | Ixodida | Ixodoidea | Ixodidae | Ixodes | Ixodes eudyptidis",NA,"superdomain | kingdom | phylum | subphylum | class | subclass | superorder | order | superfamily | family | genus | species","Ixodes eudyptidis",NA,"ixodes",NA,"Ixodidae",NA,NA,NA,"Arachnida",NA,"Arthropoda",NA,"Animalia",NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,"Female","hasHost","http://purl.obolibrary.org/obo/RO_0002454","FBC:SLB:SpecCode:81534","FBC:SLB:SpecCode:81534 | NCBI:345258 | WORMS:225932","Eudyptula albosignata","species","Aves | Ciconiiformes | Spheniscidae | Eudyptula | Eudyptula albosignata",NA,"class | order | family | genus | species","Eudyptula albosignata",NA,"eudyptula",NA,"Spheniscidae",NA,"Ciconiiformes",NA,"Aves",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HICKORY BAY  BANKS PENINSULA",NA,"https://en.wiktionary.org/wiki/support","US National Museum of Natural History Ixodes Records. Accessed at <https://github.com/globalbioticinteractions/usnm-ixodes/archive/c5fcd5f34ce412002783544afb628a33db7f47a6.zip> on 20 Apr 2021.",NA,NA,"US National Museum of Natural History Ixodes Records","globalbioticinteractions/usnm-ixodes","https://github.com/globalbioticinteractions/usnm-ixodes/archive/c5fcd5f34ce412002783544afb628a33db7f47a6.zip",NA,2021-04-17 03:12:29
"8","WORMS:762204","WORMS:762204","Ixodes eudyptidis",NA,"Biota | Animalia | Arthropoda | Chelicerata | Arachnida | Acari | Parasitiformes | Ixodida | Ixodoidea | Ixodidae | Ixodes | Ixodes eudyptidis",NA,"superdomain | kingdom | phylum | subphylum | class | subclass | superorder | order | superfamily | family | genus | species","Ixodes eudyptidis",NA,"ixodes",NA,"Ixodidae",NA,NA,NA,"Arachnida",NA,"Arthropoda",NA,"Animalia",NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,"Female","hasHost","http://purl.obolibrary.org/obo/RO_0002454","FBC:SLB:SpecCode:81534","FBC:SLB:SpecCode:81534 | NCBI:345258 | WORMS:225932","Eudyptula albosignata","species","Aves | Ciconiiformes | Spheniscidae | Eudyptula | Eudyptula albosignata",NA,"class | order | family | genus | species","Eudyptula albosignata",NA,"eudyptula",NA,"Spheniscidae",NA,"Ciconiiformes",NA,"Aves",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHRISTCHURCH  CHANCE BAY",NA,"https://en.wiktionary.org/wiki/support","US National Museum of Natural History Ixodes Records. Accessed at <https://github.com/globalbioticinteractions/usnm-ixodes/archive/c5fcd5f34ce412002783544afb628a33db7f47a6.zip> on 20 Apr 2021.",NA,NA,"US National Museum of Natural History Ixodes Records","globalbioticinteractions/usnm-ixodes","https://github.com/globalbioticinteractions/usnm-ixodes/archive/c5fcd5f34ce412002783544afb628a33db7f47a6.zip",NA,2021-04-17 03:12:29
"9","WORMS:762204","WORMS:762204","Ixodes eudyptidis",NA,"Biota | Animalia | Arthropoda | Chelicerata | Arachnida | Acari | Parasitiformes | Ixodida | Ixodoidea | Ixodidae | Ixodes | Ixodes eudyptidis",NA,"superdomain | kingdom | phylum | subphylum | class | subclass | superorder | order | superfamily | family | genus | species","Ixodes eudyptidis",NA,"ixodes",NA,"Ixodidae",NA,NA,NA,"Arachnida",NA,"Arthropoda",NA,"Animalia",NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,"Female","hasHost","http://purl.obolibrary.org/obo/RO_0002454","FBC:SLB:SpecCode:81534","FBC:SLB:SpecCode:81534 | NCBI:345258 | WORMS:225932","Eudyptula albosignata","species","Aves | Ciconiiformes | Spheniscidae | Eudyptula | Eudyptula albosignata",NA,"class | order | family | genus | species","Eudyptula albosignata",NA,"eudyptula",NA,"Spheniscidae",NA,"Ciconiiformes",NA,"Aves",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BANKS PENINSULA  HICKORY BAY",NA,"https://en.wiktionary.org/wiki/support","US National Museum of Natural History Ixodes Records. Accessed at <https://github.com/globalbioticinteractions/usnm-ixodes/archive/c5fcd5f34ce412002783544afb628a33db7f47a6.zip> on 20 Apr 2021.",NA,NA,"US National Museum of Natural History Ixodes Records","globalbioticinteractions/usnm-ixodes","https://github.com/globalbioticinteractions/usnm-ixodes/archive/c5fcd5f34ce412002783544afb628a33db7f47a6.zip",NA,2021-04-17 03:12:29
"10","WORMS:762204","WORMS:762204","Ixodes eudyptidis",NA,"Biota | Animalia | Arthropoda | Chelicerata | Arachnida | Acari | Parasitiformes | Ixodida | Ixodoidea | Ixodidae | Ixodes | Ixodes eudyptidis",NA,"superdomain | kingdom | phylum | subphylum | class | subclass | superorder | order | superfamily | family | genus | species","Ixodes eudyptidis",NA,"ixodes",NA,"Ixodidae",NA,NA,NA,"Arachnida",NA,"Arthropoda",NA,"Animalia",NA,NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,"Female","hasHost","http://purl.obolibrary.org/obo/RO_0002454","EOL_V2:1049713","EOL_V2:1049713 | FBC:SLB:SpecCode:75101 | GBIF:5789286 | INAT_TAXON:144527 | IRMNG:11799149 | ITIS:824104 | WD:Q28490 | WORMS:567792","Onychoprion anaethetus","species","Animalia | Chordata | Aves | Charadriiformes | Laridae | Onychoprion | Onychoprion anaethetus","EOL:1 | EOL:694 | EOL:695 | EOL:2917972 | EOL:8001 | EOL:4376020 | EOL_V2:1049713","kingdom | phylum | class | order | family | genus | species","Onychoprion anaethetus","EOL_V2:1049713","onychoprion","EOL:4376020","Laridae","EOL:8001","Charadriiformes","EOL:2917972","Aves","EOL:695","Chordata","EOL:694","Animalia","EOL:1",NA,NA,NA,NA,NA,NA,"PreservedSpecimen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEW PLYMOUTH  39.04 S  174.05 E",NA,"https://en.wiktionary.org/wiki/support","US National Museum of Natural History Ixodes Records. Accessed at <https://github.com/globalbioticinteractions/usnm-ixodes/archive/c5fcd5f34ce412002783544afb628a33db7f47a6.zip> on 20 Apr 2021.",NA,NA,"US National Museum of Natural History Ixodes Records","globalbioticinteractions/usnm-ixodes","https://github.com/globalbioticinteractions/usnm-ixodes/archive/c5fcd5f34ce412002783544afb628a33db7f47a6.zip",NA,2021-04-17 03:12:29
